"game_number","ice_type","arena","date","time","week","home_sponsor_name","away_sponsor_name","comment"
36,"GAME","KRC Arena","Wed Nov 2 2022","9:00 PM","Week 9","Urban Stone Surfaces","Trane Canada","beevis"
37,"GAME","KRC Arena","Wed Nov 2 2022","10:00 PM","Week 9","Kanata Renovations","Big Rig Brewery","beevis"
38,"GAME","KRC Rink","Fri Nov 4 2022","9:30 PM","Week 9","Eagleson Flooring","Trane Canada","beevis"
39,"GAME","KRC Rink","Fri Nov 4 2022","10:30 PM","Week 9","Young Drivers","Kanata Renovations","beevis"
40,"GAME","KRC Rink","Fri Nov 4 2022","11:30 PM","Week 9","Big Rig Brewery","Urban Stone Surfaces","beevis"
41,"GAME","KRC Arena","Wed Nov 9 2022","9:00 PM","Week 10","Eagleson Flooring","Kanata Renovations","beevis"
42,"GAME","KRC Arena","Wed Nov 9 2022","10:00 PM","Week 10","Young Drivers","Trane Canada","beevis"
43,"GAME","KRC Rink","Fri Nov 11 2022","9:30 PM","Week 10","Kanata Renovations","Urban Stone Surfaces","beevis"
44,"GAME","KRC Rink","Fri Nov 11 2022","10:30 PM","Week 10","Big Rig Brewery","Trane Canada","beevis"
45,"GAME","KRC Rink","Fri Nov 11 2022","11:30 PM","Week 10","Young Drivers","Eagleson Flooring","beevis"
,,,,,,,,
46,"GAME","KRC Arena","Wed Nov 16 2022","9:00 PM","Week 11","Eagleson Flooring","Big Rig Brewery","lock"
47,"GAME","KRC Arena","Wed Nov 16 2022","10:00 PM","Week 11","Young Drivers","Urban Stone Surfaces","lock"
48,"GAME","KRC Rink","Fri Nov 18 2022","9:30 PM","Week 11","Trane Canada","Kanata Renovations","lock"
49,"GAME","KRC Rink","Fri Nov 18 2022","10:30 PM","Week 11","Eagleson Flooring","Young Drivers","lock"
50,"GAME","KRC Arena","Wed Nov 23 2022","9:00 PM","Week 12","Trane Canada","Urban Stone Surfaces","lock"
51,"GAME","KRC Arena","Wed Nov 23 2022","10:00 PM","Week 12","Big Rig Brewery","Kanata Renovations","lock"
52,"GAME","KRC Rink","Fri Nov 25 2022","9:30 PM","Week 12","Urban Stone Surfaces","Big Rig Brewery","lock"
53,"GAME","KRC Rink","Fri Nov 25 2022","10:30 PM","Week 12","Kanata Renovations","Eagleson Flooring","lock"
54,"GAME","KRC Rink","Fri Nov 25 2022","11:30 PM","Week 12","Trane Canada","Young Drivers","lock"
55,"GAME","KRC Arena","Wed Nov 30 2022","9:00 PM","Week 13","Kanata Renovations","Young Drivers","lock"
56,"GAME","KRC Arena","Wed Nov 30 2022","10:00 PM","Week 13","Trane Canada","Big Rig Brewery","lock"
57,"GAME","KRC Rink","Fri Dec 2 2022","9:30 PM","Week 13","Eagleson Flooring","Urban Stone Surfaces","lock"
58,"GAME","KRC Rink","Fri Dec 2 2022","10:30 PM","Week 13","Big Rig Brewery","Young Drivers","lock"
59,"GAME","KRC Arena","Wed Dec 7 2022","9:00 PM","Week 14","Urban Stone Surfaces","Kanata Renovations","lock"
60,"GAME","KRC Arena","Wed Dec 7 2022","10:00 PM","Week 14","Trane Canada","Eagleson Flooring","lock"
,,,,,,,,
61,"GAME","KRC Rink","Fri Dec 9 2022","9:30 PM","Week 14","Urban Stone Surfaces","Young Drivers","locked"
62,"GAME","KRC Rink","Fri Dec 9 2022","10:30 PM","Week 14","Kanata Renovations","Trane Canada","locked"
63,"GAME","KRC Rink","Fri Dec 9 2022","11:30 PM","Week 14","Big Rig Brewery","Eagleson Flooring","locked"
64,"GAME","KRC Arena","Wed Dec 14 2022","9:00 PM","Week 15","Young Drivers","Eagleson Flooring","locked"
65,"GAME","KRC Arena","Wed Dec 14 2022","10:00 PM","Week 15","Kanata Renovations","Big Rig Brewery","locked"
66,"GAME","KRC Rink","Fri Dec 16 2022","9:30 PM","Week 15","Urban Stone Surfaces","Trane Canada","locked"
67,"GAME","KRC Rink","Fri Dec 16 2022","10:30 PM","Week 15","Eagleson Flooring","Kanata Renovations","locked"
68,"GAME","KRC Arena","Wed Jan 4 2023","9:00 PM","Week 16","Big Rig Brewery","Urban Stone Surfaces","locked"
69,"GAME","KRC Arena","Wed Jan 4 2023","10:00 PM","Week 16","Young Drivers","Trane Canada","locked"
70,"GAME","KRC Rink","Fri Jan 6 2023","9:30 PM","Week 16","Eagleson Flooring","Urban Stone Surfaces","locked"
71,"GAME","KRC Rink","Fri Jan 6 2023","10:30 PM","Week 16","Kanata Renovations","Young Drivers","locked"
72,"GAME","KRC Arena","Wed Jan 11 2023","9:00 PM","Week 17","Trane Canada","Big Rig Brewery","locked"
73,"GAME","KRC Arena","Wed Jan 11 2023","10:00 PM","Week 17","Urban Stone Surfaces","Kanata Renovations","locked"
74,"GAME","KRC Rink","Fri Jan 13 2023","9:30 PM","Week 17","Eagleson Flooring","Trane Canada","locked"
75,"GAME","KRC Rink","Fri Jan 13 2023","10:30 PM","Week 17","Big Rig Brewery","Young Drivers","locked"
,,,,,,,,
76,"GAME","KRC Arena","Wed Jan 18 2023","9:00 PM","Week 18","Trane Canada","Kanata Renovations","lock"
77,"GAME","KRC Arena","Wed Jan 18 2023","10:00 PM","Week 18","Eagleson Flooring","Big Rig Brewery","lock"
78,"GAME","KRC Rink","Fri Jan 20 2023","9:30 PM","Week 18","Young Drivers","Urban Stone Surfaces","lock"
79,"GAME","KRC Rink","Fri Jan 20 2023","10:30 PM","Week 18","Big Rig Brewery","Kanata Renovations","lock"
80,"GAME","KRC Arena","Wed Jan 25 2023","9:00 PM","Week 19","Eagleson Flooring","Young Drivers","lock"
81,"GAME","KRC Arena","Wed Jan 25 2023","10:00 PM","Week 19","Trane Canada","Urban Stone Surfaces","lock"
82,"GAME","KRC Rink","Fri Jan 27 2023","9:30 PM","Week 19","Kanata Renovations","Eagleson Flooring","lock"
83,"GAME","KRC Rink","Fri Jan 27 2023","10:30 PM","Week 19","Trane Canada","Young Drivers","lock"
84,"GAME","KRC Rink","Fri Jan 27 2023","11:30 PM","Week 19","Urban Stone Surfaces","Big Rig Brewery","lock"
85,"GAME","KRC Arena","Wed Feb 1 2023","9:00 PM","Week 20","Eagleson Flooring","Urban Stone Surfaces","lock"
86,"GAME","KRC Arena","Wed Feb 1 2023","10:00 PM","Week 20","Kanata Renovations","Young Drivers","lock"
87,"GAME","KRC Rink","Fri Feb 3 2023","9:30 PM","Week 20","Trane Canada","Big Rig Brewery","lock"
88,"GAME","KRC Rink","Fri Feb 3 2023","10:30 PM","Week 20","Urban Stone Surfaces","Kanata Renovations","lock"
89,"GAME","KRC Arena","Wed Feb 8 2023","9:00 PM","Week 21","Trane Canada","Eagleson Flooring","lock"
90,"GAME","KRC Arena","Wed Feb 8 2023","10:00 PM","Week 21","Big Rig Brewery","Young Drivers","lock"
,,,,,,,,
91,"GAME","KRC Rink","Fri Feb 10 2023","9:30 PM","Week 21","Eagleson Flooring","Big Rig Brewery","locked"
92,"GAME","KRC Rink","Fri Feb 10 2023","10:30 PM","Week 21","Young Drivers","Urban Stone Surfaces","locked"
93,"GAME","KRC Rink","Fri Feb 10 2023","11:30 PM","Week 21","Trane Canada","Kanata Renovations","locked"
94,"GAME","KRC Arena","Wed Feb 15 2023","9:00 PM","Week 22","Trane Canada","Urban Stone Surfaces","locked"
95,"GAME","KRC Arena","Wed Feb 15 2023","10:00 PM","Week 22","Young Drivers","Eagleson Flooring","locked"
96,"GAME","KRC Rink","Fri Feb 17 2023","9:30 PM","Week 22","Big Rig Brewery","Kanata Renovations","locked"
97,"GAME","KRC Rink","Fri Feb 17 2023","10:30 PM","Week 22","Young Drivers","Trane Canada","locked"
98,"GAME","KRC Arena","Wed Feb 22 2023","9:00 PM","Week 23","Kanata Renovations","Eagleson Flooring","locked"
99,"GAME","KRC Arena","Wed Feb 22 2023","10:00 PM","Week 23","Urban Stone Surfaces","Big Rig Brewery","locked"
100,"GAME","KRC Rink","Fri Feb 24 2023","9:30 PM","Week 23","Kanata Renovations","Young Drivers","locked"
101,"GAME","KRC Rink","Fri Feb 24 2023","10:30 PM","Week 23","Trane Canada","Big Rig Brewery","locked"
102,"GAME","KRC Arena","Wed Mar 1 2023","9:00 PM","Week 24","Eagleson Flooring","Urban Stone Surfaces","locked"
103,"GAME","KRC Arena","Wed Mar 1 2023","10:00 PM","Week 24","Big Rig Brewery","Young Drivers","locked"
104,"GAME","KRC Rink","Fri Mar 3 2023","9:30 PM","Week 24","Urban Stone Surfaces","Kanata Renovations","locked"
105,"GAME","KRC Rink","Fri Mar 3 2023","10:30 PM","Week 24","Trane Canada","Eagleson Flooring","locked"
,,,,,,,,
201,"PLAYOFF","KRC Arena","Wed Mar 8 2023","9:00 PM","Week 1","Kanata Renovations","Trane Canada",
202,"PLAYOFF","KRC Arena","Wed Mar 8 2023","10:00 PM","Week 1","Urban Stone Surfaces","Young Drivers",
203,"PLAYOFF","KRC Rink","Fri Mar 10 2023","9:30 PM","Week 1","Big Rig Brewery","Eagleson Flooring",
204,"PLAYOFF","KRC Rink","Fri Mar 10 2023","10:30 PM","Week 1","Young Drivers","Trane Canada",
205,"PLAYOFF","KRC Arena","Wed Mar 15 2023","9:00 PM","Week 2","Urban Stone Surfaces","Trane Canada","March Break"
206,"PLAYOFF","KRC Arena","Wed Mar 15 2023","10:00 PM","Week 2","Kanata Renovations","Big Rig Brewery","March Break"
207,"PLAYOFF","KRC Rink","Fri Mar 17 2023","9:30 PM","Week 2","Young Drivers","Eagleson Flooring","March Break"
208,"PLAYOFF","KRC Rink","Fri Mar 17 2023","10:30 PM","Week 2","Big Rig Brewery","Urban Stone Surfaces","March Break"
209,"PLAYOFF","KRC Arena","Wed Mar 22 2023","9:00 PM","Week 3","Eagleson Flooring","Kanata Renovations",
210,"PLAYOFF","KRC Arena","Wed Mar 22 2023","10:00 PM","Week 3","Young Drivers","Big Rig Brewery",
211,"PLAYOFF","KRC Rink","Fri Mar 24 2023","9:30 PM","Week 3","Young Drivers","Kanata Renovations",
212,"PLAYOFF","KRC Rink","Fri Mar 24 2023","10:30 PM","Week 3","Urban Stone Surfaces","Eagleson Flooring",
213,"PLAYOFF","KRC Rink","Fri Mar 24 2023","11:30 PM","Week 3","Big Rig Brewery","Trane Canada",
214,"PLAYOFF","KRC Arena","Wed Mar 29 2023","9:00 PM","Week 4","Eagleson Flooring","Trane Canada",
215,"PLAYOFF","KRC Arena","Wed Mar 29 2023","10:00 PM","Week 4","Kanata Renovations","Urban Stone Surfaces",
,,,,,,,,
216,"FINAL","Jack Charron","Fri Mar 31 2023","4:00 PM",,"Second","Third","Finals"
217,"FINAL","Jack Charron","Fri Mar 31 2023","5:00 PM",,"First","Fourth","Finals"
218,"FINAL","Jack Charron","Fri Mar 31 2023","6:00 PM",,"Fifth","Sixth","Finals"
219,"FINAL","Jack Charron","Fri Mar 31 2023","7:00 PM",,"Final","Final","Finals"
