"game_number","ice_type","arena","date","time","week","home_sponsor_name","away_sponsor_name","comment"
52,"GAME","KRC Rink","Fri Nov 27 2020","9:30 PM","Week 12","Urban Stone Surfaces","Big Rig Brewery","lock"
53,"GAME","KRC Rink","Fri Nov 27 2020","10:30 PM","Week 12","Kanata Renovations","Eagleson Flooring","lock"
54,"GAME","KRC Rink","Fri Nov 27 2020","11:30 PM","Week 12","Trane Canada","Young Drivers","lock"
55,"GAME","KRC Arena","Wed Dec 2 2020","9:00 PM","Week 13","Kanata Renovations","Young Drivers","lock"
56,"GAME","KRC Arena","Wed Dec 2 2020","10:00 PM","Week 13","Trane Canada","Big Rig Brewery","lock"
57,"GAME","KRC Rink","Fri Dec 4 2020","9:30 PM","Week 13","Eagleson Flooring","Urban Stone Surfaces","lock"
58,"GAME","KRC Rink","Fri Dec 4 2020","10:30 PM","Week 13","Big Rig Brewery","Young Drivers","lock"
59,"GAME","KRC Arena","Wed Dec 9 2020","9:00 PM","Week 14","Urban Stone Surfaces","Kanata Renovations","lock"
60,"GAME","KRC Arena","Wed Dec 9 2020","10:00 PM","Week 14","Trane Canada","Eagleson Flooring","lock"
,,,,,,,,
61,"GAME","KRC Rink","Fri Dec 11 2020","9:30 PM","Week 14","Urban Stone Surfaces","Young Drivers","locked"
62,"GAME","KRC Rink","Fri Dec 11 2020","10:30 PM","Week 14","Kanata Renovations","Trane Canada","locked"
63,"GAME","KRC Rink","Fri Dec 11 2020","11:30 PM","Week 14","Big Rig Brewery","Eagleson Flooring","locked"
64,"GAME","KRC Arena","Wed Dec 16 2020","9:00 PM","Week 15","Young Drivers","Eagleson Flooring","locked"
65,"GAME","KRC Arena","Wed Dec 16 2020","10:00 PM","Week 15","Kanata Renovations","Big Rig Brewery","locked"
66,"GAME","KRC Rink","Fri Dec 18 2020","9:30 PM","Week 15","Urban Stone Surfaces","Trane Canada","locked"
67,"GAME","KRC Rink","Fri Dec 18 2020","10:30 PM","Week 15","Eagleson Flooring","Kanata Renovations","locked"
68,"GAME","KRC Arena","Wed Jan 6 2021","9:00 PM","Week 16","Big Rig Brewery","Urban Stone Surfaces","locked"
69,"GAME","KRC Arena","Wed Jan 6 2021","10:00 PM","Week 16","Young Drivers","Trane Canada","locked"
70,"GAME","KRC Rink","Fri Jan 8 2021","9:30 PM","Week 16","Eagleson Flooring","Urban Stone Surfaces","locked"
71,"GAME","KRC Rink","Fri Jan 8 2021","10:30 PM","Week 16","Kanata Renovations","Young Drivers","locked"
72,"GAME","KRC Arena","Wed Jan 13 2021","9:00 PM","Week 17","Trane Canada","Big Rig Brewery","locked"
73,"GAME","KRC Arena","Wed Jan 13 2021","10:00 PM","Week 17","Urban Stone Surfaces","Kanata Renovations","locked"
74,"GAME","KRC Rink","Fri Jan 15 2021","9:30 PM","Week 17","Eagleson Flooring","Trane Canada","locked"
75,"GAME","KRC Rink","Fri Jan 15 2021","10:30 PM","Week 17","Big Rig Brewery","Young Drivers","locked"
,,,,,,,,
76,"GAME","KRC Arena","Wed Jan 20 2021","9:00 PM","Week 18","Trane Canada","Kanata Renovations","lock"
77,"GAME","KRC Arena","Wed Jan 20 2021","10:00 PM","Week 18","Eagleson Flooring","Big Rig Brewery","lock"
78,"GAME","KRC Rink","Fri Jan 22 2021","9:30 PM","Week 18","Young Drivers","Urban Stone Surfaces","lock"
79,"GAME","KRC Rink","Fri Jan 22 2021","10:30 PM","Week 18","Big Rig Brewery","Kanata Renovations","lock"
80,"GAME","KRC Arena","Wed Jan 27 2021","9:00 PM","Week 19","Eagleson Flooring","Young Drivers","lock"
81,"GAME","KRC Arena","Wed Jan 27 2021","10:00 PM","Week 19","Trane Canada","Urban Stone Surfaces","lock"
82,"GAME","KRC Rink","Fri Jan 29 2021","9:30 PM","Week 19","Kanata Renovations","Eagleson Flooring","lock"
83,"GAME","KRC Rink","Fri Jan 29 2021","10:30 PM","Week 19","Trane Canada","Young Drivers","lock"
84,"GAME","KRC Rink","Fri Jan 29 2021","11:30 PM","Week 19","Urban Stone Surfaces","Big Rig Brewery","lock"
85,"GAME","KRC Arena","Wed Feb 3 2021","9:00 PM","Week 20","Eagleson Flooring","Urban Stone Surfaces","lock"
86,"GAME","KRC Arena","Wed Feb 3 2021","10:00 PM","Week 20","Kanata Renovations","Young Drivers","lock"
87,"GAME","KRC Rink","Fri Feb 5 2021","9:30 PM","Week 20","Trane Canada","Big Rig Brewery","lock"
88,"GAME","KRC Rink","Fri Feb 5 2021","10:30 PM","Week 20","Urban Stone Surfaces","Kanata Renovations","lock"
89,"GAME","KRC Arena","Wed Feb 10 2021","9:00 PM","Week 21","Trane Canada","Eagleson Flooring","lock"
90,"GAME","KRC Arena","Wed Feb 10 2021","10:00 PM","Week 21","Big Rig Brewery","Young Drivers","lock"
,,,,,,,,
91,"GAME","KRC Rink","Fri Feb 12 2021","9:30 PM","Week 21","Eagleson Flooring","Big Rig Brewery","locked"
92,"GAME","KRC Rink","Fri Feb 12 2021","10:30 PM","Week 21","Young Drivers","Urban Stone Surfaces","locked"
93,"GAME","KRC Rink","Fri Feb 12 2021","11:30 PM","Week 21","Trane Canada","Kanata Renovations","locked"
94,"GAME","KRC Arena","Wed Feb 17 2021","9:00 PM","Week 22","Trane Canada","Urban Stone Surfaces","locked"
95,"GAME","KRC Arena","Wed Feb 17 2021","10:00 PM","Week 22","Young Drivers","Eagleson Flooring","locked"
96,"GAME","KRC Rink","Fri Feb 19 2021","9:30 PM","Week 22","Big Rig Brewery","Kanata Renovations","locked"
97,"GAME","KRC Rink","Fri Feb 19 2021","10:30 PM","Week 22","Young Drivers","Trane Canada","locked"
98,"GAME","KRC Arena","Wed Feb 24 2021","9:00 PM","Week 23","Kanata Renovations","Eagleson Flooring","locked"
99,"GAME","KRC Arena","Wed Feb 24 2021","10:00 PM","Week 23","Urban Stone Surfaces","Big Rig Brewery","locked"
100,"GAME","KRC Rink","Fri Feb 26 2021","9:30 PM","Week 23","Kanata Renovations","Young Drivers","locked"
101,"GAME","KRC Rink","Fri Feb 26 2021","10:30 PM","Week 23","Trane Canada","Big Rig Brewery","locked"
102,"GAME","KRC Arena","Wed Mar 3 2021","9:00 PM","Week 24","Eagleson Flooring","Urban Stone Surfaces","locked"
103,"GAME","KRC Arena","Wed Mar 3 2021","10:00 PM","Week 24","Big Rig Brewery","Young Drivers","locked"
104,"GAME","KRC Rink","Fri Mar 5 2021","9:30 PM","Week 24","Urban Stone Surfaces","Kanata Renovations","locked"
105,"GAME","KRC Rink","Fri Mar 5 2021","10:30 PM","Week 24","Trane Canada","Eagleson Flooring","locked"
,,,,,,,,
201,"PLAYOFF","KRC Arena","Wed Mar 10 2021","9:00 PM","Week 1","Kanata Renovations","Trane Canada",
202,"PLAYOFF","KRC Arena","Wed Mar 10 2021","10:00 PM","Week 1","Urban Stone Surfaces","Young Drivers",
203,"PLAYOFF","KRC Rink","Fri Mar 12 2021","9:30 PM","Week 1","Big Rig Brewery","Eagleson Flooring",
204,"PLAYOFF","KRC Rink","Fri Mar 12 2021","10:30 PM","Week 1","Young Drivers","Trane Canada",
205,"PLAYOFF","KRC Arena","Wed Mar 17 2021","9:00 PM","Week 2","Urban Stone Surfaces","Trane Canada","March Break"
206,"PLAYOFF","KRC Arena","Wed Mar 17 2021","10:00 PM","Week 2","Kanata Renovations","Big Rig Brewery","March Break"
207,"PLAYOFF","KRC Rink","Fri Mar 19 2021","9:30 PM","Week 2","Young Drivers","Eagleson Flooring","March Break"
208,"PLAYOFF","KRC Rink","Fri Mar 19 2021","10:30 PM","Week 2","Big Rig Brewery","Urban Stone Surfaces","March Break"
209,"PLAYOFF","KRC Arena","Wed Mar 24 2021","9:00 PM","Week 3","Eagleson Flooring","Kanata Renovations",
210,"PLAYOFF","KRC Arena","Wed Mar 24 2021","10:00 PM","Week 3","Young Drivers","Big Rig Brewery",
211,"PLAYOFF","KRC Rink","Fri Mar 26 2021","9:30 PM","Week 3","Young Drivers","Kanata Renovations",
212,"PLAYOFF","KRC Rink","Fri Mar 26 2021","10:30 PM","Week 3","Urban Stone Surfaces","Eagleson Flooring",
213,"PLAYOFF","KRC Rink","Fri Mar 26 2021","11:30 PM","Week 3","Big Rig Brewery","Trane Canada",
214,"PLAYOFF","KRC Arena","Wed Mar 31 2021","9:00 PM","Week 4","Eagleson Flooring","Trane Canada",
215,"PLAYOFF","KRC Arena","Wed Mar 31 2021","10:00 PM","Week 4","Kanata Renovations","Urban Stone Surfaces",
,,,,,,,,
216,"FINAL","Jack Charron","Fri Apr 2 2021","4:00 PM",,"Second","Third","Finals"
217,"FINAL","Jack Charron","Fri Apr 2 2021","5:00 PM",,"First","Fourth","Finals"
218,"FINAL","Jack Charron","Fri Apr 2 2021","6:00 PM",,"Fifth","Sixth","Finals"
219,"FINAL","Jack Charron","Fri Apr 2 2021","7:00 PM",,"Final","Final","Finals"
