"game_number","ice_type","arena","date","time","week","home_sponsor_name","away_sponsor_name","comment"
1,"GAME","KRC Arena","Wed Sep 4 2019","9:00 PM","Week 1","Urban Stone Surfaces","Young Drivers",
2,"GAME","KRC Arena","Wed Sep 4 2019","10:00 PM","Week 1","Kanata Renovations","Trane Canada",
3,"GAME","KRC Rink","Fri Sep 6 2019","9:30 PM","Week 1","Big Rig Brewery","Eagleson Flooring",
4,"GAME","KRC Rink","Fri Sep 6 2019","10:30 PM","Week 1","Urban Stone Surfaces","Trane Canada",
5,"GAME","KRC Arena","Wed Sep 11 2019","9:00 PM","Week 2","Kanata Renovations","Big Rig Brewery",
6,"GAME","KRC Arena","Wed Sep 11 2019","10:00 PM","Week 2","Young Drivers","Eagleson Flooring",
7,"GAME","KRC Rink","Fri Sep 13 2019","9:30 PM","Week 2","Young Drivers","Trane Canada",
8,"GAME","KRC Rink","Fri Sep 13 2019","10:30 PM","Week 2","Big Rig Brewery","Urban Stone Surfaces",
9,"GAME","KRC Rink","Fri Sep 13 2019","11:30 PM","Week 2","Eagleson Flooring","Kanata Renovations",
10,"GAME","KRC Arena","Wed Sep 18 2019","9:00 PM","Week 3","Big Rig Brewery","Trane Canada",
11,"GAME","KRC Arena","Wed Sep 18 2019","10:00 PM","Week 3","Urban Stone Surfaces","Eagleson Flooring",
12,"GAME","KRC Rink","Fri Sep 20 2019","9:30 PM","Week 3","Young Drivers","Kanata Renovations",
13,"GAME","KRC Rink","Fri Sep 20 2019","10:30 PM","Week 3","Eagleson Flooring","Trane Canada",
14,"GAME","KRC Arena","Wed Sep 25 2019","9:00 PM","Week 4","Kanata Renovations","Urban Stone Surfaces",
15,"GAME","KRC Arena","Wed Sep 25 2019","10:00 PM","Week 4","Young Drivers","Big Rig Brewery",
,,,,,,,,
16,"GAME","KRC Rink","Fri Sep 27 2019","9:30 PM","Week 4","Trane Canada","Kanata Renovations",
17,"GAME","KRC Rink","Fri Sep 27 2019","10:30 PM","Week 4","Eagleson Flooring","Big Rig Brewery",
18,"GAME","KRC Rink","Fri Sep 27 2019","11:30 PM","Week 4","Young Drivers","Urban Stone Surfaces",
19,"GAME","KRC Arena","Wed Oct 2 2019","9:00 PM","Week 5","Urban Stone Surfaces","Big Rig Brewery",
20,"GAME","KRC Arena","Wed Oct 2 2019","10:00 PM","Week 5","Trane Canada","Young Drivers",
21,"GAME","KRC Rink","Fri Oct 4 2019","9:30 PM","Week 5","Kanata Renovations","Eagleson Flooring",
22,"GAME","KRC Rink","Fri Oct 4 2019","10:30 PM","Week 5","Trane Canada","Urban Stone Surfaces",
23,"GAME","KRC Arena","Wed Oct 9 2019","9:00 PM","Week 6","Big Rig Brewery","Kanata Renovations",
24,"GAME","KRC Arena","Wed Oct 9 2019","10:00 PM","Week 6","Eagleson Flooring","Young Drivers",
25,"GAME","KRC Rink","Fri Oct 11 2019","9:30 PM","Week 6","Big Rig Brewery","Trane Canada",
26,"GAME","KRC Rink","Fri Oct 11 2019","10:30 PM","Week 6","Urban Stone Surfaces","Eagleson Flooring",
27,"GAME","KRC Arena","Wed Oct 16 2019","9:00 PM","Week 7","Young Drivers","Kanata Renovations",
28,"GAME","KRC Arena","Wed Oct 16 2019","10:00 PM","Week 7","Eagleson Flooring","Trane Canada",
29,"GAME","KRC Rink","Fri Oct 18 2019","9:30 PM","Week 7","Young Drivers","Big Rig Brewery",
30,"GAME","KRC Rink","Fri Oct 18 2019","10:30 PM","Week 7","Kanata Renovations","Urban Stone Surfaces",
,,,,,,,,
31,"GAME","KRC Arena","Wed Oct 23 2019","9:00 PM","Week 8","Big Rig Brewery","Eagleson Flooring",
32,"GAME","KRC Arena","Wed Oct 23 2019","10:00 PM","Week 8","Urban Stone Surfaces","Young Drivers",
33,"GAME","KRC Rink","Fri Oct 25 2019","9:30 PM","Week 8","Kanata Renovations","Trane Canada",
34,"GAME","KRC Rink","Fri Oct 25 2019","10:30 PM","Week 8","Young Drivers","Eagleson Flooring",
35,"GAME","KRC Arena","Wed Oct 30 2019","9:00 PM","Week 9","Urban Stone Surfaces","Trane Canada",
36,"GAME","KRC Arena","Wed Oct 30 2019","10:00 PM","Week 9","Kanata Renovations","Big Rig Brewery",
37,"GAME","KRC Rink","Fri Nov 1 2019","9:30 PM","Week 9","Eagleson Flooring","Kanata Renovations",
38,"GAME","KRC Rink","Fri Nov 1 2019","10:30 PM","Week 9","Young Drivers","Trane Canada",
39,"GAME","KRC Rink","Fri Nov 1 2019","11:30 PM","Week 9","Big Rig Brewery","Urban Stone Surfaces",
40,"GAME","KRC Arena","Wed Nov 6 2019","9:00 PM","Week 10","Young Drivers","Kanata Renovations",
41,"GAME","KRC Arena","Wed Nov 6 2019","10:00 PM","Week 10","Big Rig Brewery","Trane Canada",
42,"GAME","KRC Rink","Fri Nov 8 2019","9:30 PM","Week 10","Urban Stone Surfaces","Eagleson Flooring",
43,"GAME","KRC Rink","Fri Nov 8 2019","10:30 PM","Week 10","Young Drivers","Big Rig Brewery",
44,"GAME","KRC Arena","Wed Nov 13 2019","9:00 PM","Week 11","Eagleson Flooring","Trane Canada",
45,"GAME","KRC Arena","Wed Nov 13 2019","10:00 PM","Week 11","Kanata Renovations","Urban Stone Surfaces",
,,,,,,,,
46,"GAME","KRC Rink","Fri Nov 15 2019","9:30 PM","Week 11","Eagleson Flooring","Big Rig Brewery",
47,"GAME","KRC Rink","Fri Nov 15 2019","10:30 PM","Week 11","Young Drivers","Urban Stone Surfaces",
48,"GAME","KRC Rink","Fri Nov 15 2019","11:30 PM","Week 11","Trane Canada","Kanata Renovations",
49,"GAME","KRC Arena","Wed Nov 20 2019","9:00 PM","Week 12","Kanata Renovations","Eagleson Flooring",
50,"GAME","KRC Arena","Wed Nov 20 2019","10:00 PM","Week 12","Urban Stone Surfaces","Big Rig Brewery",
51,"GAME","KRC Rink","Fri Nov 22 2019","9:30 PM","Week 12","Trane Canada","Young Drivers",
52,"GAME","KRC Rink","Fri Nov 22 2019","10:30 PM","Week 12","Big Rig Brewery","Kanata Renovations",
53,"GAME","KRC Arena","Wed Nov 27 2019","9:00 PM","Week 13","Eagleson Flooring","Young Drivers",
54,"GAME","KRC Arena","Wed Nov 27 2019","10:00 PM","Week 13","Trane Canada","Urban Stone Surfaces",
55,"GAME","KRC Rink","Fri Nov 29 2019","9:30 PM","Week 13","Kanata Renovations","Young Drivers",
56,"GAME","KRC Rink","Fri Nov 29 2019","10:30 PM","Week 13","Trane Canada","Big Rig Brewery",
57,"GAME","KRC Arena","Wed Dec 4 2019","9:00 PM","Week 14","Eagleson Flooring","Urban Stone Surfaces",
58,"GAME","KRC Arena","Wed Dec 4 2019","10:00 PM","Week 14","Big Rig Brewery","Young Drivers",
59,"GAME","KRC Rink","Fri Dec 6 2019","9:30 PM","Week 14","Urban Stone Surfaces","Kanata Renovations",
60,"GAME","KRC Rink","Fri Dec 6 2019","10:30 PM","Week 14","Trane Canada","Eagleson Flooring",
,,,,,,,,
61,"GAME","KRC Arena","Wed Dec 11 2019","9:00 PM","Week 15","Kanata Renovations","Trane Canada",
62,"GAME","KRC Arena","Wed Dec 11 2019","10:00 PM","Week 15","Big Rig Brewery","Eagleson Flooring",
63,"GAME","KRC Rink","Fri Dec 13 2019","9:30 PM","Week 15","Urban Stone Surfaces","Young Drivers",
64,"GAME","KRC Rink","Fri Dec 13 2019","10:30 PM","Week 15","Kanata Renovations","Big Rig Brewery",
65,"GAME","KRC Arena","Wed Dec 18 2019","9:00 PM","Week 16","Young Drivers","Eagleson Flooring",
66,"GAME","KRC Arena","Wed Dec 18 2019","10:00 PM","Week 16","Urban Stone Surfaces","Trane Canada",
67,"GAME","KRC Rink","Fri Dec 20 2019","9:30 PM","Week 16","Kanata Renovations","Young Drivers",
68,"GAME","KRC Rink","Fri Dec 20 2019","10:30 PM","Week 16","Trane Canada","Big Rig Brewery",
69,"GAME","KRC Rink","Fri Jan 3 2020","9:30 PM","Week 17","Big Rig Brewery","Urban Stone Surfaces",
70,"GAME","KRC Rink","Fri Jan 3 2020","10:30 PM","Week 17","Eagleson Flooring","Kanata Renovations",
71,"GAME","KRC Rink","Fri Jan 3 2020","11:30 PM","Week 17","Young Drivers","Trane Canada",
72,"GAME","KRC Arena","Wed Jan 8 2020","9:00 PM","Week 18","Eagleson Flooring","Urban Stone Surfaces",
73,"GAME","KRC Arena","Wed Jan 8 2020","10:00 PM","Week 18","Big Rig Brewery","Young Drivers",
74,"GAME","KRC Rink","Fri Jan 10 2020","9:30 PM","Week 18","Trane Canada","Eagleson Flooring",
75,"GAME","KRC Rink","Fri Jan 10 2020","10:30 PM","Week 18","Urban Stone Surfaces","Kanata Renovations",
,,,,,,,,
76,"GAME","KRC Arena","Wed Jan 15 2020","9:00 PM","Week 19","Trane Canada","Young Drivers",
77,"GAME","KRC Arena","Wed Jan 15 2020","10:00 PM","Week 19","Kanata Renovations","Eagleson Flooring",
78,"GAME","KRC Rink","Fri Jan 17 2020","9:30 PM","Week 19","Young Drivers","Urban Stone Surfaces",
79,"GAME","KRC Rink","Fri Jan 17 2020","10:30 PM","Week 19","Trane Canada","Kanata Renovations",
80,"GAME","KRC Rink","Fri Jan 17 2020","11:30 PM","Week 19","Eagleson Flooring","Big Rig Brewery",
81,"GAME","KRC Arena","Wed Jan 22 2020","9:00 PM","Week 20","Trane Canada","Urban Stone Surfaces",
82,"GAME","KRC Arena","Wed Jan 22 2020","10:00 PM","Week 20","Big Rig Brewery","Kanata Renovations",
83,"GAME","KRC Rink","Fri Jan 24 2020","9:30 PM","Week 20","Urban Stone Surfaces","Big Rig Brewery",
84,"GAME","KRC Rink","Fri Jan 24 2020","10:30 PM","Week 20","Eagleson Flooring","Young Drivers",
85,"GAME","KRC Arena","Wed Jan 29 2020","9:00 PM","Week 21","Eagleson Flooring","Urban Stone Surfaces",
86,"GAME","KRC Arena","Wed Jan 29 2020","10:00 PM","Week 21","Kanata Renovations","Young Drivers",
87,"GAME","KRC Rink","Fri Jan 31 2020","9:30 PM","Week 21","Trane Canada","Big Rig Brewery",
88,"GAME","KRC Rink","Fri Jan 31 2020","10:30 PM","Week 21","Urban Stone Surfaces","Kanata Renovations",
89,"GAME","KRC Arena","Wed Feb 5 2020","9:00 PM","Week 22","Big Rig Brewery","Young Drivers",
90,"GAME","KRC Arena","Wed Feb 5 2020","10:00 PM","Week 22","Trane Canada","Eagleson Flooring",
,,,,,,,,
