"game_number","ice_type","arena","date","time","week","home_sponsor_name","away_sponsor_name","comment"
91,"GAME","KRC Rink","Fri Feb 7 2020","9:30 PM","Week 22","Trane Canada","Kanata Renovations",
92,"GAME","KRC Rink","Fri Feb 7 2020","10:30 PM","Week 22","Young Drivers","Urban Stone Surfaces",
93,"GAME","KRC Rink","Fri Feb 7 2020","11:30 PM","Week 22","Eagleson Flooring","Big Rig Brewery",
94,"GAME","KRC Arena","Wed Feb 12 2020","9:00 PM","Week 23","Kanata Renovations","Eagleson Flooring",
95,"GAME","KRC Arena","Wed Feb 12 2020","10:00 PM","Week 23","Young Drivers","Trane Canada",
96,"GAME","KRC Rink","Fri Feb 14 2020","9:30 PM","Week 23","Urban Stone Surfaces","Big Rig Brewery",
97,"GAME","KRC Rink","Fri Feb 14 2020","10:30 PM","Week 23","Young Drivers","Eagleson Flooring",
98,"GAME","KRC Arena","Wed Feb 19 2020","9:00 PM","Week 24","Trane Canada","Urban Stone Surfaces",
99,"GAME","KRC Arena","Wed Feb 19 2020","10:00 PM","Week 24","Big Rig Brewery","Kanata Renovations",
100,"GAME","KRC Rink","Fri Feb 21 2020","9:30 PM","Week 24","Eagleson Flooring","Urban Stone Surfaces",
101,"GAME","KRC Rink","Fri Feb 21 2020","10:30 PM","Week 24","Kanata Renovations","Young Drivers",
102,"GAME","KRC Arena","Wed Feb 26 2020","9:00 PM","Week 25","Trane Canada","Big Rig Brewery",
103,"GAME","KRC Arena","Wed Feb 26 2020","10:00 PM","Week 25","Urban Stone Surfaces","Kanata Renovations",
104,"GAME","KRC Rink","Fri Feb 28 2020","9:30 PM","Week 25","Eagleson Flooring","Trane Canada",
105,"GAME","KRC Rink","Fri Feb 28 2020","10:30 PM","Week 25","Big Rig Brewery","Young Drivers",
,,,,,,,,
201,"PLAYOFF","KRC Arena","Wed Mar 4 2020","9:00 PM","Week 1","Kanata Renovations","Trane Canada",
202,"PLAYOFF","KRC Arena","Wed Mar 4 2020","10:00 PM","Week 1","Big Rig Brewery","Eagleson Flooring",
203,"PLAYOFF","KRC Rink","Fri Mar 6 2020","9:30 PM","Week 1","Urban Stone Surfaces","Trane Canada",
204,"PLAYOFF","KRC Rink","Fri Mar 6 2020","10:30 PM","Week 1","Young Drivers","Eagleson Flooring",
205,"PLAYOFF","KRC Rink","Fri Mar 6 2020","11:30 PM","Week 1","Kanata Renovations","Big Rig Brewery",
206,"PLAYOFF","KRC Arena","Wed Mar 11 2020","9:00 PM","Week 2","Eagleson Flooring","Kanata Renovations",
207,"PLAYOFF","KRC Arena","Wed Mar 11 2020","10:00 PM","Week 2","Urban Stone Surfaces","Young Drivers",
208,"PLAYOFF","KRC Rink","Fri Mar 13 2020","9:30 PM","Week 2","Young Drivers","Trane Canada",
209,"PLAYOFF","KRC Rink","Fri Mar 13 2020","10:30 PM","Week 2","Big Rig Brewery","Urban Stone Surfaces",
210,"PLAYOFF","KRC Arena","Wed Mar 18 2020","9:00 PM","Week 3","Big Rig Brewery","Trane Canada","March Break"
211,"PLAYOFF","KRC Arena","Wed Mar 18 2020","10:00 PM","Week 3","Young Drivers","Kanata Renovations","March Break"
212,"PLAYOFF","KRC Rink","Fri Mar 20 2020","9:30 PM","Week 3","Urban Stone Surfaces","Eagleson Flooring","March Break"
213,"PLAYOFF","KRC Rink","Fri Mar 20 2020","10:30 PM","Week 3","Young Drivers","Big Rig Brewery","March Break"
214,"PLAYOFF","KRC Arena","Wed Mar 25 2020","9:00 PM","Week 4","Eagleson Flooring","Trane Canada",
215,"PLAYOFF","KRC Arena","Wed Mar 25 2020","10:00 PM","Week 4","Kanata Renovations","Urban Stone Surfaces",
,,,,,,,,
216,"FINAL","Jack Charron","Fri Mar 27 2020","4:00 PM",,"Second","Third","Finals"
217,"FINAL","Jack Charron","Fri Mar 27 2020","5:00 PM",,"First","Fourth","Finals"
218,"FINAL","Jack Charron","Fri Mar 27 2020","6:00 PM",,"Fifth","Sixth","Finals"
219,"FINAL","Jack Charron","Fri Mar 27 2020","7:00 PM",,"Final","Final","Finals"
