Game#,Type,Location,Date,Start,End,Division,Away,Home,Commant
93,GAME,KRC-A,Wed Feb 14,9:00PM,,,T1,T4,2A lock
94,GAME,KRC-A,Wed Feb 14,10:00PM,,,T6,T2,2C lock
95,GAME,KRC-B,Fri Feb 16,9:30PM,,,T5,T3,2B lock
96,GAME,KRC-B,Fri Feb 16,10:30PM,,,T4,T6,5B lock
97,GAME,KRC-A,Wed Feb 21,9:00PM,,,T2,T4,4B lock
98,GAME,KRC-A,Wed Feb 21,10:00PM,,,T3,T6,4C lock
99,GAME,KRC-B,Fri Feb 23,9:30PM,,,T4,T5,3B lock
100,GAME,KRC-B,Fri Feb 23,10:30PM,,,T2,T3,3C lock
101,GAME,KRC-B,Fri Feb 23,11:30PM,,,T6,T1,3A lock
102,GAME,KRC-A,Wed Feb 28,9:00PM,,,T1,T5,4A lock
103,GAME,KRC-A,Wed Feb 28,10:00PM,,,T2,T4,4B lock
104,GAME,KRC-B,Fri Mar 2,9:30PM,,,T6,T3,4C lock
105,GAME,KRC-B,Fri Mar 2,10:30PM,,,T2,T5,5C lock
